nama,review,bintang
Onyet Studio,"Alumni SMK Shandy Putra Purwokerto Terakhir, Saat kelulusan kami juga di tandai dengan Di bentuknya Telkom Group, dan nama SmK menjadi Telkom School SMK Telkom Purwokerto. Sangat cepat.Telk School mengusung one tube , maksudnya semua nya bisa dari tk, sd, spm, smk dan kuliah di satu naungan Telkom Group, sampai pada masa kerja.Sebaiknya jangan paksakan anak anda, disini yang menang adalah yang sudah senang dari awal dengan sekolah yang di pilih mereka. :)Alumni SMK Shandy Putra Purwokerto Terakhir, Saat kelulusan kami juga di tandai dengan Di bentuknya Telkom Group, dan nama SmK menjadi Telkom School SMK Telkom Purwokerto. Sangat cepat. …Lengkapnya",5
M. Lukman Leksono,Kampus Digital di Era Milineal sambut masa depan lebih gemilang,5
Rustanto Official,Kampus yg cukup tenar di Purwokerto.. Bahkan Mahasiswa tak hanya dr pulau Jawa saja.. Jg tersedia SMK da SMP.. Keren deh..,5
amalia dita,"Kawasan pendidikan yg bersih, nyaman",5
pri yono,"Termasuk PTS yg cukup baik walaupun baru,  karena membawa nama besar Telkom. Utk SMK termasuk bagus di tingkat nasional,  dengan banyaknya siswa dr luar daerah yg memang bermiat sekolah disini.",5
Restuti Maulida,Kampus yang nyaman.. Siiipppp,5
Mey Zeky Halawa,Institut Teknologi pertama di Purwokerto dan Jawa Tengah. Merupakan bagian dari Yayasan Pendidikan Telkom (YPT) yang sama-sama mengembangkan Telkom University di Bandung. Rencananya akan menjadi Telkom University National Campus (TUNC) Purwokerto. Bangga dengan kampus ini!,4
Fadly Munawar,"Kampus Teknologi yang khas dengan warna abu merah pada bangunannya.Setelah mengalami alih status dari Sekolah menjadi Institut. Kampus yang berada dalam satu area dengan SMP dan SMK Telkom ini punya prodi baru yaitu Desain Komunikasi Visual (DKV). Di Purwokerto sendiri, Prodi DKV saat ini hanya ada di IT Telkom.Mengenai bangunannya sendiri, saat ini IT Telkom memiliki 2 komplek bangunan. Yang terbaru ada di bagian belakang.Kampus Teknologi yang khas dengan warna abu merah pada bangunannya.Setelah mengalami alih status dari Sekolah menjadi Institut. Kampus yang berada dalam satu area dengan SMP dan SMK Telkom ini punya prodi baru yaitu Desain …Lengkapnya",4
Agung Restu Saputra,"Institute Teknologi Telkom Purwokerto, tempat kuliah yang nyaman, gedung-gedung dan sarpras memadai. Buat yang mau menetap, mencari jodoh sembari kuliah bisa lah ITTP jadi Salah satu pertimbangannya.",5
Alfi F,Sekolah dengan teknologi modern,5
Rizal Rafly Tsani,Kampus kebanggan,4
Bambang CB,Menyenangkan dan cocok untuk pendidikan....semoga sukses selalu Amin YRA,4
NKRI harga mati Merah putih jaya,Titik map ny tidak sesuai dg posisi gedung ..sngt mengganggu untuk transaksi onlen /transportasi onlen...??? Mohon di tempatkan pada posisi semula/normal ..tks,5
Rezky Maulana,"Tempat kuliah bergengsi ber vibe persawahan, fasilitas lengkap, staff ramah, dosen berkualitas, lulusan siap kerja",5
Nurma Fauziah,"Kalo ngasih jadwal suka dadakan, malesin",5
Iftitan DU,Ijazah Wisudawan Telat Berbulan bulan,5
Moro Kurniawan,Untuk tempat sangat memfasilitasi mahasiswa dengan baik,4
Kahse casse,"Pengen kuliah lagi, setelah melihat ITT ini. Gedung nya bagus.",4
Novian Adi Prasetyo,Kampus terbaik di Purwokerto,5
Yadi Muhrir,"Saya dari luar daerah mempercayakan anak saya kuliah di disini, sukses itt pwk!",5
Abraham Ramadhany,"Rindu suasana akatel jaman dulu, thn 2007-2012, ruangan favorit perpus🤣",4
