nama,review,bintang
Saripah Nur Aulia,"Saya berkunjung kesini ketika mengikuti tes UTBK. Setelah berkeliling, fasilitas kampus ini cukup bagus. Poltekpos dan Stimolog sekarang sedang proses meger ke ULBI(Universitas Logistik Bisnis Internasional) . Para satpam disini pada ramah, ada kegiatan mahasiswa juga yg terlihat menyenangkan.",4
Ibrahim Nazaril Al-Qotani,Temen saya masuk uks lagi osjur😥,5
Sakti Febrian,"Kampus terbaik bagi pendidikan ilmu logistik dan bisnis internasional,, dan lulusannya bener2 bisa langsung siap kerja karena adik saya sendiri juga alumni ULBI yg dulunya bernama Poltekpos.. 👍👍👍",5
Mukhlis Saputra,saya selaku ortu dari mahasiswi sangat berterimaksih kepada kampus ulbi .,5
M. Afrizal Azhari,"Salah satu Universitas Logistik & Bisnis terakreditasi yg bagus di Indonesia.. dengan standart pembelajaran Internasional.. memiliki fasilitas dan pengajar terbaik di bidang manajemen logistik and supply chain..Bagi yg ingin berkarir Professional atau Executive Muda di bidang Manajemen Logistik & Supply Chain, wajib masuk sini.. Lulusannya siap menghadapi era Industri 4.0... ✔️Salah satu Universitas Logistik & Bisnis terakreditasi yg bagus di Indonesia.. dengan standart pembelajaran Internasional.. memiliki fasilitas dan pengajar terbaik di bidang manajemen logistik and supply chain.. …Lengkapnya",5
surya ramadhan noor,"5 orang ponakan lulusan kampus Poltekpos dan anak sedang kuliah juga saat ini di ULBI, semoga dengan bergabungnya Politeknik Pos Indonesia dan Sekolah Tinggi Manajemen Logistik Indonesia menjadi Universitas Logistik dan Bisnis Internasional dapat menghasilkan lulusan yang siap bekerja dan juga siap untuk membuka lapangan kerja, semangaaaatt5 orang ponakan lulusan kampus Poltekpos dan anak sedang kuliah juga saat ini di ULBI, semoga dengan bergabungnya Politeknik Pos Indonesia dan Sekolah Tinggi Manajemen Logistik Indonesia menjadi Universitas Logistik dan Bisnis Internasional …Lengkapnya",4
ronald siahaan,"Kampusnya kren dan lingkunganya sejuk serta transportasi mudah, menghasilkan lulusan terbaik dibidang Logistik dan Supplay Chain dan siap.kerja sehingga cepat direkrut perusahaan yang bergerak dibidang Logistik dan Supplay Chain Manajemen.",4
Nurhidayati Agustini,"Termasuk perguruan tinggi berbasis logistik pertama di Indonesia, lulusannya keren banyak dibutuhkan. Setelah jadi ULBI lebih byk pilihan fakultas dan jurusan yang kekinian. Yuk segera gabung  jangan ragu- ragu. Bonusnya  kampusnya yg  luas dan nyaman.",5
Zainal Indra Putra,"Saya alumni angkatan pertama D4 Akuntansi Poltekpos yang skrg berubah menjadi Universitas Logistik dan Bisnis Internasional.Banyak ilmu dan pengalaman yang di dapat selama kuliah disini, terimakasih bapak/ibu dosen,akang teteh dan teman2 selama kuliah di Poltekpos Indonesia.Saya alumni angkatan pertama D4 Akuntansi Poltekpos yang skrg berubah menjadi Universitas Logistik dan Bisnis Internasional. …Lengkapnya",5
mochamad irfan,"PT pos Indonesia adalah badan usaha milik negara dan sudah pasti dijamin kapabilitasnya dengan jangkauan layanan yang merata diseluruh wilayah Indonesia, kami yakin PT Pos Indonesia akan selalu berbenah dan mengembangkan dirinya untuk menjadi perusahaan yang terbaik dengan penuh tanggung jawab terhadap konsumennya.",1
Krist Papua,"ULBI kampusnya keren, ikut membangun nusantara, menghasilkan tenaga yg siap pakai dengan kopentensi dan mutu yg terjamin ok!!Banyak univ di negeri ini yg baik tetapi yg terbaik dan siap kan masa depan terbaik hanya kampus ULBI. Mantap💪🙏👍👍👍",1
Diana Maryana -,"Kampus yang nyaman utk menimba ilmu dan menghasilkan banyak lulusan yang siap bekerja serta mampu bersaing di industri,Selamat dan sukses untuk ULBI (merger politeknik pos dan Stimlog)",5
nurlaela kumaladewi,Universitas Logistik dan Bisnis Internasional merupakan Universitas pertama di Indonesia yang fokus di Bidang Logistik. Universitas ini hasil merger dua institusi pendidikan di bawah PT. POS Indonesia yaitu Sekolah Tinggi Manajemen Logistik (STIMLOG) Dan Politeknik Pos Indonesia keduanya merupakan institusi pendidikan dibawah PT. Pos Indonesia. STIMLOG yang merupakan sekolah pertama keilmuan logistik dan transporatsi di Indonesia dimana lulusannya bergelar Sarjana Logistik (S.Log) dan alumninya tersebar diseluruh Indonesia dengan penempatan pusat pusat logistik dan transportasi. Hasil survey penguna alumni STIMLOG menunjukan 87.3% pengguna puas dengan kompetensi lulusan STIMLOG dan hasil Tracer Alumni menunjukkan bahwa kompetensi Utama menunjukan sesuai dengan kebutuhan industri logistik dan transportasiUniversitas Logistik dan Bisnis Internasional merupakan Universitas pertama di Indonesia yang fokus di Bidang Logistik. Universitas ini hasil merger dua institusi pendidikan di bawah PT. POS Indonesia yaitu Sekolah Tinggi Manajemen Logistik …Lengkapnya,5
Rumi Nurtaty,"Kampus terbaik utk milenial, suasana yg asik, dgn pembimbing yg profesional menghasilkan mahasiswa yg siap kerja....ayo belajar di univ logistik 💪👍",5
Vanda Alpha Savitrie,"Suasana Kampus yang Asri dan Nyaman, dengan fasilitas yang lengkap dan memadai, serta Program-Program Studi yang  dibutuhkan dunia kerja dan industri, membuat ULBI menjadi pilihan tempat studi Logistik terbaik..👍👍",5
Sandi Mardiansyah,"Logistik saat ini positioningnya sangat strategis sekali di market, mengingat akselerasi digital di bidang khususnya e-commerce akan sangat menjanjikan sekali di masa mendatang. ULBI menurut saya salah satu pijakan paling pas, untuk menyongsong dan menimba ilmu Logistik.",5
Aurora,"Pokokna mah kampus na sae pisan.Saya sebagai mahasiswa ULBI merasa bangga karena lingkungan kampusnya yang ramah, serta orang-orangnya pada baik dan juga keren.",5
Mercy Husnawaty,Kampus nya asri lulusannya bisa bersaing dengan lulusan dari universitas yg ada di Jawa dan SDH teruji dan terbukti lulusan nya berkiprah dan terjun langsung kerja  di PT POS,5
Hannan,"Tempat yang refresentatif untuk belajar, sejuk dan bisa fokus.Lulusannya sesuai dengan lapangan kerja yang saat ini banyak di butuhkan khusus nya di bidang Industri Logistik.Satu satunya universitas logistikdi Indonesia dan siap pakai.Tempat yang refresentatif untuk belajar, sejuk dan bisa fokus.Lulusannya sesuai dengan lapangan kerja yang saat ini banyak di butuhkan khusus nya di bidang Industri Logistik. …Lengkapnya",5
Franky chan,Dingin eug,5
Muhammad Ramdhan,"Kampus yang berada di kawasan yg cocok utk belajar, ULBI mencetak generasi siap kerja dan menciptakan lapangan kerja, lulus langsung kerja",5
Sidqiyyah Ashilah,Sekolah di sini enakkkk bgtttttttttt...Nyamannnnn ...Fasilitas lengkappp beuhhh...LUAS ...dosen nya baik baik bgtt....Ga salah pilih kampus aku mahhhh 💓💓💓Jaya selalu kampus ku ULBI🔥💓Sekolah di sini enakkkk bgtttttttttt...Nyamannnnn ...Fasilitas lengkappp beuhhh... …Lengkapnya,1
indra prasetyo,Salah satu kampus terbaik dibidang logistik yg dimiliki indonesia...lulusannya memiliki talenta yg luar biasa siap bersaing menghadapi perkembangan digital yg semakin lama semakin maju..kerennn..,1
ridwan chombonk,Salah satu Universitas bidang manajemen logistik dan supply chain terbaik yang hadir dan dpt menhasilkan lulusan yang siap kerja sebagai expertist di berbagai perusahaan yang bergerak di industri logistik,5
Puspo Retnaningtyas,"Kuliah di sini betah.  Kampusnya asri,  bersih,  trus banyak spot2 yg instagramable bgt gaes!  Dosennya jg ganteng2, baik hati dan smart 👍",5
Donald Trump USA,"Wah hebat, PT Pos skrg punya universitas. Makin yakin skarang pasti bisa mengalahkan pesaing2 bisnisnya seperti JNE, JNT, Paxel, anteraja, sicepat dkk.",5
Nisfu Solihin,"Kampus bagus, sarana dan prasarana lengkap, lulusannya banyak dipinang perusahaan logistik Krn sdh siap menghadapi dinamika dan problematika bisnis logistik",5
arief joko sentono,"Kampusnya keren, lokasinya nyaman dan cocok utk belajar. Lulusannya sudah banyak berkiprah di industri kurir, logistik, dan bidang lainnya.",5
gia risky,Salah satu kampus terbaik dan ternyaman. Sangat memadai dan juga asli sekali.You’ll be really comfortable studying here:)Dosennya asik asik banget!,5
Galang Budi Mulyo,"Pernah menjalani diklat di kampus ini, saat masih bernama Poltekpos .. sekarang sudah berkembang menjadi ULBI.. semakin keren!!",5
Kurniawan,Kampus yg keren menghasilkan lulusan yg terbaik dan bersaing cepat mendapat pekerjaan..sukses selalu ulbi...,5
Mariana Wijayanti,"Kampus yang bagus utk belajar logistik, lulusannya sudah banyak yg bekerja diperusahaan logistik ternama....ayo buruan daftar",5
Furkan Furkan,"Kampusnya bagus.... Dosennya juga keren-keren.., lulusannya sudah banyak yg bekerja dibidang manajemen logistik dan supply chain.",5
johan massie,"Ponakan saya baru mau masuk kuliah disini, kampusnya keren..ilmu logistik dan bisnis internasional sangat cocok buat anak kuliah jaman now..",5
Toto Suwarsa,"Nyaman, sejuk, dan aman kuliah di ULBI karena karakter mahasiswanya Luar biasa santun, jujur, dan bertanggungjawab.",5
suworo woro,Universitas terbaik yang pernah kami lihat dgn segala keunggulan dan lulusannya banyak yg bekerja pada instansi pemerintah dan swasta.,5
Kusnadi Fashehy,"Tempat kuliah yang nyaman, karena fasilitas dan kondisi alam yang mendukung. Tak heran kalau mampu mencetak tenaga Profesional dan berkelas....Sukses terus buat ULBI dan Almamaternya...👍👍👍👍",5
Apur,"Kampusnya menawarkan beasiswa diskon DPP100% dan potingan SPP Rp2,5jt/semester sampai semester akhir",5
Yudi Yudi,Ayo ULBI buktikan dirimu mampu memberikan yang terbaik untuk bangsa dan negara dengan mencetak lulusan lulusan yang handal dan kompeten dibidangnya....pasti bisa...,5
Gus Kahar,Kampus yg luar biasa... Lulusannya sudah siap bekerja dengan bekal ilmu yg up to date..  Pokoknya top banget dah.. .👍👍👍,5
annisa maharani,Kampus tempat saya belajar. Lulusannya diberikan bekal pelatihan yg siap digunakan didunia kerja nanti.,5
ots 94,"Kampus yang bagus alumni jg bagus karena keterikatan dengan alumni dan mahasiswa, serta mahasiswa cepat dapat informasi seputar pekerjaan",5
roni hermawan zao,"Kampus yg asri, ditunjang fasilitas pendidikan yang lengkap, lokasi kampus yg strategis, menjadikan Politeknik Pos Indonesia salah satu kampus idaman",5
Aisah Zha,"Alhamdullilah...dulu saya kuliah disini sebagai Politeknik Pos Indonesia, dan sekarang sudah menjadi Universitas...luar biasa...semoga bisa tambah sukses ULBI",5
hani dian atikah,"Kuliah di sini memberikan pengalaman dan wawasan begitu banyak terutama untuk mempersiapkan bekal di dunia kerja, sukses selalu ULBI",5
Dinda Syafira Agitha,"Lokasi kampus strategis, fokus di bidang Transportasi,  parkiran cukup luas, biaya kuliah tergolong murah, ada Dosen Artis 🤩",5
Ciptarini Apriyanti,Kampus nya kereeeen ...menghasilkan telenta terbaik...and satu lagi nie lulusanx sdh siap kerja..,5
Riandaka Rizal,Salah satu perguruan tinggi di Bandung yang fokusnya untuk dunia logistik Indonesia. Kampus ini di bawah naungan dari Yayasan Pendidikan Bhakti Pos Indonesia yang merupakan bagian dari Politeknik Pos Indonesia,5
muh subhan,"Satu2nya kampus yg khusus mengajarkan bisnis Logistik dan bisnis Internasional tentu outputnya akan menghasilkan  pebisnis Logistik dan bisnis Int. yg tangguh dan cerdas, selamat buat ULBI",5
Ummi Srie,Kampus logistik yg sangat di butuhkan zaman now. Kampusnya keren. Asyik. Wow dan yg terpenting... Ilmu nya.... Very very interesting  bro....,5
Dias Woro,"Lulusan dari kampus ini sudah siap kerja, materinya pun disesuaikan dengan kebutuhan dunia kerja saat ini dan beberapa tahun mendatang...👍👍",5
agus pinandoyo,"Sukses ULBI kawah candradimuka yang telah menghasilkan sdm kualitas Unggul , tempat belajar yang asri dan lengkap nyaman , sukses dan maju terus ULBI",5
Arjund Hendriex,"Dosen nya penuh totalitas dalam memberikan kuliah, sehingga mampu menghasilkan Lulusan terbaik.Maju terus ULBI#kuliahdiULBIaja#ULBIDosen nya penuh totalitas dalam memberikan kuliah, sehingga mampu menghasilkan Lulusan terbaik.Maju terus ULBI …Lengkapnya",5
wagimuntoro wijoseno,"Kampus logistik dan bisnis terbaik, pencetak lulusan siap pakai. Memberi bukti bukan sekedar janji. 👍",5
Adi Widjayanto,Kampusnya nyaman n keren...menghasilkan talenta terbaik dibidang manajemen logistik👍,5
Abie Hrd,Setelah sukses dari STIMLOG dan Poltekpos sekarang merger menjadi Univeristas Logistik dan Bisnis Internasional...semakin maju dan terdepan...,5
Dewi Imaroh Rahmania,"kampusnya nyaman, adem, fasilitasnya juga oke banget buat menunjang materi perkuliahan sehari-hari",5
Catur Ahaddi Nizar,kampus dengan lingkungan yang asri dan sejuk dapat menambah semangat pembelajaran. memiliki jurusan logistik bisnis satu satunya di indonesia.,5
PRIYO TRI SUSILO,Semoga bisa melahirkan generasi pos yang semakin profesional dan tangguh ditengah persaingan bravo PT Pos Indonesia,5
lukman abdul azizul hakim,"Kampusnya sejuk, enak buat belajar, program studi nya beragam dan lulusan nya cepat bekerja..",5
Rian Naila,"Wawww,, kampusnya keren fasilitas nya juga ok , , pasti menjadikan mahasiswanya bertalenta di manajemen logistik ,",5
Kaka Onel,Alamamater tercinta🥰🥰,5
Agus Purnomo4,Universitas yang keren banget. Prodi-prodinya mencetak lulusan yang dibutuhkan untuk industry 4.0. Sukses terus ULBI,5
Kamel Tamrin,"Kampusnya nyaman ,sagat ASRI",5
Syafrial Fachri Pane,"Jaya terus Politeknik Pos Indonesia dan STIMLOG, semoga hasil merger menjadi Universitas Logistik dan Bisnis Internasional (ULBI) semakin terdepan.....",5
Rian Syahariany,"Bangga menjadi alumni Poltekpos  prodi  Logistik Bisnis , sekarang menjadi ULBI  menghasilkan lulusan terbaik di bidang logistik 👍👍👍 maju terus ULBI👍💪💪💪😍🤗",5
Helvry Sinaga,Memgikuti seminar perpajakan PP 36 Tahun 2017 dan Perpu No.1 tentang Akses Informasi Untuk Kepentingan Perpajakan.Kerjasama IAI Wilayah Jabar dan Kanwil DJP Wajib Pajak BesarMemgikuti seminar perpajakan PP 36 Tahun 2017 dan Perpu No.1 tentang Akses Informasi Untuk Kepentingan Perpajakan. …Lengkapnya,5
"Indra Firmansyah,",universitas yang mempunyai kompetensi bagi mahasiswanya untuk menjadi akhli bidang logistik dan SCM yang di ntegrasikan dengan bidang ke ilmuan lainya,5
Rima Sundari,"Kampus yang asri dan sejuk dengan dosen2 yang keren dan kompeten di bidang nya , pokoknya ngga nyesel deh kuliah di sini 😉",5
Firman Ighel,menciptakan tenaga handal dan siap bekerja dengan dedikasi tinggi. fasilitas kampus yang lengkap  jadi buruan daftar segera,4
ngadirin nandar,"Kampusnya bagus, cocok untuk calon orang-orang terbaik di bidang manajemen logistik dan suplay chain",4
Intan Novita D.,"Ada 3 Prodi S1 baru di ULBI yang menarik, yaitu Manajemen Rekayasa, Sains Data dan Bisnis Digital 🌟",5
johni eka putra,"Kampus yang terbagus dan terbaik untuk menghasilkan expert di dunia logistik. Kerennn 👍👍, jadi pingin kuliah lagi nie 🙂🙂",5
NabiL Kya Wicaksono,"Perguruan Tinggi terpercaya, dg lulusan yg handal, siap untuk membangun dan memajukan Negeri ini,,Pokoe TOP!!",5
Hape _Hp,Kampusnya keren...pengajarnya berkompeten di bidangnya...Belajar ilmu logistik sekaligus peluangnya kedepan 👍👍👍,5
Nanang Purwanto,Kampusnya keren dan bisa menciptakan lulusan yg siap pakai di dunia kerja,5
Puspa Dewi,"Keren kuliah disini, dapat pengalaman ilmu logistik, dan semua materi yang berhubungan dengan logistik baik keuangan, hukum2 tentang logistik. Sukses selalu ULBI",5
Dino Ariyadi,tempat kuliah dgn lokasi yang sangat tenang sehingga mahasiswa bisa lebih fokus dalam menimba ilmu,5
sisko meynako,Tempatnya banyak pohon adem,5
Kamila Zhedin,"Kampusnya sejuk adem kok, cukup luas dan kelas2nya jg mantep",5
Mohammad Sarip,"Suasana Kampus bagus,  Kulitas pendidikan OK, setelah lulus gampang cari kerja .. TOP...TOP. TOP..",5
keluarga hudaya,Kepada nayla chikal pangesty di tunggu itikad baik nya sama langganan ojek makasih mohon di sampaikan kepda mahasiswa/mahasiswi poltekpos soalnya di wa tidak di bales2 di telpin tidak di angkat2,5
djacks taher,Ini kampus yg keren...lokasinya yg luas dan adem cocok utk tempat menimba ilmu,5
wahyu kurnia sari,Poltekpos termasuk kedalam aperti bumn,5
Nabila Kurnia Asdi,"Tempat ruang kuliahnya lumayan nyaman, terus luas juga. Hawanya dingin masih asri. Jalan menuju kesini sempit",5
Ramli Karno,Kampus yg keren dgn kwalitas lulusan yg mudah mendapatkan pekerjaan di bidang logistik,5
Dewi Eryanti,Kuliah disini banyak ilmu dan pengalaman yang didapatkan. Semoga jaya terus ULBI (merger Politeknik Pos Indonesia dan STIMLOG),5
Budi Prakoso,"Kampus milik BUMN yg keren, dosennya asyik, punya network luas dan lokasinya asri",5
Rizal Aji Prasetyo,"Kampusnya keren, dosennya profesional. Mantap dah ngga nyesel kuliah disini",5
Teguh Susianto,Kampusnya sy dulu...dgn suasana nyaman dilengkapi dengan banyak berbagai fasilitas,5
iwan gunawan,Kampus nyaman buat belajarTempat yang pas buat yang mau belajar logistik khususnyaULBI keren,5
richwan sianturi,Kampus nya talent - talent logistik Dan supply chain. Solusi untuk yg ingin belajar ilmu logistik Dan SCM,5
Yulius Indro Cahyono,"Bagi milenial yang ingin menjadi expert logistik dan bisnis antar bangsa, di sinilah tempat yang tepat untuk memulai.",5
Firlan Zaniar,Alhamdulillah udah Lolos di ULBI,5
Panggih Rahardjo,"Mau jadi ahli logistik dan supply chain management?..belajarlah di kampus ini, kapabilitas kampus sangat mendukung.",5
Aulia Chandra Syafitri,Satu2nya kampus yg memiliki jurusan logistik. menghasilkan lulusan yang  berkualitas,5
Audyfitria,Di D4 belajar nya langsung praktek jadi paham konsep dan bisa ngembangin materi nya.,5
Hariadi Ismail,"Universitas Logistik dan Bisnis Internasional (ULBI hasil merger POLTEKPOS & STIMLOG) Keren, Tempat Membangun Masa Depan Sukses",5
Nur Hening,kampusnya asyik dan semoga lulusannya cepet dpt kerja....,5
Kiky,"Kampus yg nyaman,Dosen2 yg baik2 dan berkompetenStaf2 yg baik dan ramah2Lingkungan yg nyaman.",5
Fatia Maresti,"kampusnya nyaman dan asri, program studinya uptodate dengan kebutuhan industri saat ini",5
Queenta Paquita Ajeng Ningtyas,bagus untuk kesehatan karena olahraga setiap hari naik turun tangga cantik,5
Anisa Supriatna,Kampusnya keren..prodinya jg oke punya..yuk kuliah di ULBI..,5
mujiono mujiono,kerennn...universitas yang sangat tepat bagi generasi mudah yang ingin menekuni perlogistican...,5
Afri Rizky,tidak ada lift buat naik ke lantai 3 tidak ramahminimal eskalator,5
Adi Subiyanto,Kampus logistik pertama yg kualified dan lulusannya siap kerja dan cepat dapet kerja,5
Tati Nurhayati,"Kampusnya representative, sejuk... Dosennya oke², lulusannya siap kerja...👍👍👍",5
Tumiran Tomy,Suasana Kampusnya Adem dan nyaman untuk menuntut ilmu jauh dari kebisingan,5
nadila n,"Salah satu perguruan tinggi yang mengembangkan program studi logistik bisnis. Ada jurusan logistik bisnis, akuntansi, manajemen bisnis, teknik informatika, manajemen informatika semuanya d3/d4",5
Hasan Zainnuri,"Menginap di Wisma Politeknik Pos, Bandung. Oke dan nyaman tempat menginapnya. TV, shower, bedroom, dan AC.",5
Nandi Hidayat,"Kampus logistik yang keren, menghasilkan lulusan yang berkualitas dan siap kerja",5
Tri Aulad,makin OK ....dulunya Poltek dan STIMLog ...sekarang jadi ULBI...Univ Logistik Bisnis Internasional......,5
Wildan Hamdani,"Saya alumni Politeknik Pos, dan alhamdulillah sekarang sudah menjadi Universitas",5
Ini Sapik,Buat daftar administrasinya jelek,4
Tjahyo,Sekolahnya bagus dan terarah dengan spesialisasi logistik yg sangat dibutuhkan di pasar tenaga kerja,4
Mukti Sugian,kampus swasta yang sangat nyaman dan asri di Bandung dan juga jurusan yang kekinian,5
Djoko Saptono,"Kampus yang tenang, asri dan cukup luas dengan fasilitas yg cukup lengkap",5
Catherine Fauziah Jamela,Tempat perjuangan suami menempuh pnsDan bisa d bilang nyaman tempatnya n asri,5
vivi sofiati,Pengalaman logistik yg dimiliki menambah kekayaan ilmu bagi mahasiswa,5
Anugerah Dwi Septiawan,"apa betul perguruan sebesar ini tidak punya BALAI PENGOBATAN untuk mahasiswanya, khususnya untuk mahasiswa yang pas-pasan",5
rudyshn,"Kampus  pilihan utk menjadi expert di bidang logistik, teknologi dan bisnis.",5
Nurlaili Jayanti,Salah satu universitas terbaik dalam mencetak generasi penerus bangsa,5
Prime TIME,"Saya angkatan 2 sekarang sudah bekerja di BUMN, terimakasih Politeknik Pos Indonesia (ULBI)",5
fitra rachmad,"Kampus logistik terbaik, merasa bangga jadi lulusan ULBI",5
Muhammad Aksal,Wah mantap Universitas yang keren banget Sukses terus ULBI👍,5
Airiyani Zulkarnain,Punya temen yg ansknya sekolah disini,5
Gun Gun Hamdani,Tempat saya kuliah dulu,5
Shinta Sriwahyuni,Bagus dan tepat utk suasana kuliah yg jauh dari keramaian,5
parulian hutajulu,Buat rekans milenial tempat yg pas buat dapetin ilmu logistik dan bisnis,5
Yoh Casmadi,Semoga ULBI menjadi universitas unggulan di bidang SCM dan Digital Bisnis,5
ZubEejubaedah,"Ya allah mudah""an q bisa bertemu kembali sama sahabatku teh heny",5
Arida Murti Martikasari,Kampus yg asri dan nyaman dengan fasilitas yg sangat memadai,5
Rahmat Karo Purba,Tempat menyenangkan untuk menimba  ilmu yg berguna utk bisnis terkini,5
Aldian agung,😍,5
