nama,review,bintang
Asdi Prasetyo,"Lokasi yang unik, Satu-satunya di Indonesia kampus menyulap bangunan ex Pabrik Semen menjadi wadah pendidikan tinggi yang bertaraf Internasionl",2
Edhy Triono,"tempatnya lumayan keren, lokasi ada di dalam pabrik semen, parkiran juga luas, banyak pohon besar dan tinggi",2
Naufal Maulana,Sangat baik,1
Vardian Bagus,Kampus UISI adalah Campus kebanggaan anak kami dan  genersi muda yang berusaha mencari ilmu yang bermanfaat aamiin,1
Cat “The Traveler”,Kampusnya ada 2 lokasi yang di jl veteran sini. Kampus A dan kampus B tempat perpus instagramable,1
moch khausar,"Tangyu orderan laptop thinkpadnya, ditunggu orderannya lagi 😊😊",1
ali bogem,ada jurusan apa saja ya,4
Fadhilah Dwiestri Handayani,"Termasuk kampus terbaik di Gresik, dengan nuansa industrial nya dapet banget",4
hanifa fatma,"Beda dengan kampus lain, keren. Banyak pengembangan softskill atau hardskill disini.",5
Indro Warkop,kampus luas.. megah,5
Yunita Mardhiyyah,"Kampus baru di Gresik, swasta tapi bagus. Pengajarannya berkualitas, seperti PTN bahkan.",4
lily mooi,Kampus yang berbasis korporasi. Salah satu Universitas terbaik yang ada di Gresik.,4
Achmad Zainul Muttaqin,Fasilitas lengkap,5
IMNYA umm what ever,Kampus serasa Pubg 😂Kampus pubg check,5
Conan Saputra,bismillah dan alhamdulillah bisa kuliah disini... :D #ProudToBeSTiMSI,5
Ida Silvia,Bangga jadi bagian kampus ini 👍 keep crafting the excellent,5
Abdul Halim,Kampus baru namun melejit prestasinya.,5
Pri Hinkap,Beruntung yang bisa kuliah di sini. Masa depan cerah menanti.,5
Putri Ciprut,UISI  perfect...,5
LUKE Lifting,Universitas terbaik di kota gresik,5
Kwu Manajemen,"Kampus the best, pilihan dan internasional .",5
Fahmi Nandip,"Tempatnya adem, asri, sejuk.",5
Hendrik Nur cahya,Arsitektur bangunan kampus bagus banget,5
Sekarsari Utami Wijaya,Kampus Heritages pertama di Indonesia...,5
mreza pp,kampus internasional terbaik di indonesia,4
Hassan Asyrori,Sangat menarik,4
Putri Mas Cendhani Prasetyo,Fasilitas terbaikk,5
Danyputra Dany,Cari ilmu coz bisa kerjaa,5
Mukhammad Yunus,Semakin kokoh tak tertandingi,5
Nuhan Herling,Sekarang memiliki kampus,5
Sherpa Camp,Kampus dengan sistem manajemen modern.,5
Deny Prasetyo,universitas nya bagus,5
Carina Jihadda,Universitas yang sangat bagus,5
Miftakhur Rohman,Sangat bagus,5
Laptop Gresik,akreditasi lumayan bagus,5
Prasetyo Teguh Wahyudi,Kampusnya Orang Gresik,5
Aurel Maulida9oi,Bagus banget,5
Ahmad Taufiq,kampus favorit di gresik,5
Khasan Nadhif,Kampus berbasis korporasi.,5
ridwan yahya m,Universitas internasional semen indonesia,5
afiful mahmudah,Pengen kuliah disini😍😍😍😍,5
Putera Sadiq Rahman,Mudahan masuk :-),5
fatimatus zahra,mantap,5
Copler Madura,sangat puas,5
Zuhal Syam,internasional,5
Yoga Dharmawan,"Kampus unik, khususnya Kampus B yang bertransformasi dari bekas Pabrik Semen Batubara. Dapatkan banyak pengalaman langsung dari para ahli di PT Semen Indonesia baik melalui perkuliahan maupun pembelajaran kerja",5
帝克諾,"Uniqe campus, especially its Campus B which transformed from ex Cement Coal Mill. Gain many experiences directly from experts from PT Semen Indonesia through both lectures and work learning",4
Ikrar Nusa Bakti,Saya sungguh terkesan dengan pemandangan indah dan nyaman di kampus ini.,4
Sultania Faris,I truly impressed with the beautiful and comfortable scene of this campus.,5
Diyanto Alie,👍,5
Ahmad Hudaifah,Masih di Universitas baru tetapi banyak fasilitas,5
nanana lalaladududu,Still in new University but a lot facilities,5
teddy fauzi,Universitas swasta ternama Homy,5
Zain Afif,Homy reputable private university,5
Woodsett Indonesia,Bagus sekali,5
Ainun N Rahayu,Niceeee,5
Achmad Choiri,Merangsang,4
Ahmad Asrofi,Stimsi,4
Andi Zulfikar D,Kampus yang bagus,5
muhammad wildan,Good campus,5
Kristina Endang,Tekkim dabe 💕👌,5
Naufal Maulana,Tekkim dabest💕👌,5
Paskalina Duwit,Dengan orang-orang baik,5
SMART,With good people,5
Harum Amaliah,Bagus,5
Amir Coyrul Sabri,good,5
savedyan malesi,Menciptakan yang Luar Biasa,4
Fadhil Irvansyah,Crafting the Excellent,4
Abi 'AzKai,,5
arif pramudya,,5
Dinda AR,,4
Reno Herdhiansyah,,4
Agnesya Trisna,,5
Naomi Ayu Citra Ningtyas,,5
yonky listyantoro,,5
yenny utami,,5
Adi Sepriyanto,,5
Vebrina Nainggolan,,5
Billy Maulana,,5
Tita Hayubunga,,5
ARYO SYUJA,,5
sari setyaningsih,,5
khusnul,,5
akiko terui,,5
Brina Miftahurrohmah,,5
fitri dyaningsih,,5
Mauve Gladious,,4
Lukman Hakim_ Kargo,,4
Suprianto SE,,5
Fiqi Zuhrufa,,5
dewi rismala,,4
Nefi Yunilistya,,4
fadhilah handayani,,4
Deviana Febrianti,,4
Sya Dev,,5
Ayu Ningsih,,5
Elisa Putri Wachdaniyah,,5
Nurhadi Kusdianto,,5
Farah Sefiefa,,5
Ariya Suyono,,5
Faishal Hilmi,,5
Assifa Nur Rohmah,,5
Annisah Dwi,,5
Nur Roufik,,5
Alief Fayrus,,5
Muhammad Nasrulloh,,5
Alifia Yuanika Rahmawati,,5
astri wepe,,5
Fauzan Zaidi,,5
Muhammad Aktssam Alfarisi,,5
Rudi Susanto oficial,,5
Fairianto Firmanza,,5
HerdiTio Ibrahim,,5
Lailatul Mufidah,,5
Alfiana Fitri,,5
Lenny Desiyani,,5
Notaris Yuli Endah Wardantik (Notaris Danti),,5
Putri Sea Paramita,,5
Akhmad Nur Fahrozi,,4
Dewi Purwanti,,4
Mariana Carvalho,,5
Chandra Wira Utami,,5
edi harnoto,,5
khaf,,5
Affandi Asyhari,,5
Stefanus Eko Wiratno,,5
Achmad Arief al Hinani,,5
putri dwi oktaviana,,5
Titah Hayubunga Dwita,,5
Muhammad Akbar,,5
Tjiptohadi Sawarjuwono,,4
Aulia Hanni,,4
Aulia Hanni,,5
Eka Lutfi Septiani,,5
Veny Lidiawati,,5
Yosua Alvin,,5
Muhammad Hasan,,5
Hafizuddin Al-ansari,,5
Syahrilla Alamsyah,,1
Cici Amelia Melika,,1
Sandi Darmiantono,,5
Abdul Halim,,5
serginho 08,,5
Amelia Wahyu Erwanto Erwanto,,5
Nefi Yunilistya,,5
Okta Armansyah,,5
Novan Firmansyah,,5
Aphilian Lah,,5
madina amazing,,5
Ibrahim Nata,,5
witri aulia,,5
PUGOH AJI LEKSONO,,5
VERRY SISWANTO,,5
elyana puspita,,5
Brevi Rostrisa,,5
Suhartini Suwandari,,5
Tugi Styawan,,5
Suci wulandari,,5
nabilla1 akbarindo,,5
Ameliya Putri,,5
Widya L,,4
Tanfirul Nur Lailli Muhammad,,4
Sheplina Firsty Diamonita,,5
Ian “IaNa” Na,,5
Cici Amelia,,5
Sutri Ono,,5
Wilmu Wil,,5
Sulistiyanto 29,,5
Star7 00,,5
valent ramadhan,,5
illa rouhilla,,5
E2 Channel,,5
aya herlin,,5
luvstarsun 98,,5
Heri Purnomo,,5
Risky Wulandari (QW),,5
Erdhian KS,,4
M T,,4
Wafiyah,,5
RUDOLF BACKER LEEGSTRA,,5
zaky M,,5
,,5
,,4
,,1
,,2
,,3
Miftah NG,,5
Hafiz Nafi'uddin,"Unik. Kampus ""heritage"" pertama yang pernah saya datangi. Area bekas pabrik Semen Gresik yang dipindah ke Tuban. Para mahasiswa & staf ramah². Perpustakaan & fasilitas lainnya mantap. Adem kalau sudah masuk ke gedungnya.Harus mampir kesini. Instagramable. (Sept. 2019)",5
Chandra Bintang,,5
Wandy Bear,"Universitasnya sangat bagus, tapi lebih diperhatikan untuk yang dikampus 2, jalannya agak licin dan berpasir jadi ditikungan mudah jatuh, 🙏Terima Kasih untuk dosen² dan Mahasiswa yang sangat membantu dan sangat baik sudah mau membantu seluruh proses belajar sampai selesai, 🙏",3
Fajar Rifat,,3
Justin Hubner,"Hati-hati dengan dosen gadungan yang bernama ""OKTAVIAN ZULFIKY"" yang mengaku bekerja di UISI dan terbukti telah memalsukan gelar S2 nya.",1
MiawLegenD_,,1
thandmustedi Pur,"Sementara 3 bintang dulu ya min.Min, calon mahasiswa/mahasiswi yang buka dari keluarga karyawan dan bukan lulusan dr sekolah mitra, Apakah bisa untuk daftar/masuk di UISI?",3
Nurtoha Mr,,3
Achmad Sofyan Tsauri,"Jalan masuk untuk motor ke kampus B paving nya banyak yg rusak ngak rata min, mending di jadikan 1 saja jalan masuk untuk motor dan mobil",2
ali sugiarto,,2
Asdi Prasetyo,"Dapat Orderan Go Ride Atas Nama ""Amelia S"" pada hari selasa 29 November 2022 pukul 14:56 katanya sudah menunggu di pos satpam ternyata masih jam kelas dan saya sudah nunggu hampir 1 jam di pos satpam orderan malah di cancel. Sudah di bantu beberapa mahasiswa dan mahasiswi yg lain untuk di carikan di WA temen"" prodinya tp tidak ada mungkin kebetulan bukan rekan prodinya.Dapat Orderan Go Ride Atas Nama ""Amelia S"" pada hari selasa 29 November 2022 pukul 14:56 katanya sudah menunggu di pos satpam ternyata masih jam kelas dan saya sudah nunggu hampir 1 jam di pos satpam orderan malah di cancel. Sudah di bantu …Lengkapnya",1
Edhy Triono,,1
Naufal Maulana,"Kekurangan yang ada :1. ParkiranGa ada parkirannya, ga ada atapnya jadi bikin ban motor sering kempes, kalo hujan helmnya jadi basah, ga ngerti lagi sama parkirannya...2. TanggaAkses menuju gedung 4 tangganya sangat curam dan tidak aman apalagi waktu setelah hujan licin tolong diperbaikin3. ACAc dibeberapa kelas terutama di gedung 3 banyak yg tidak berfungsi dengan baik, ac nya sangat berisik dan menganggu kelas, tidak bisa diatur suhu nya kadang sangat dingin tidak bisa diturunkan suhu nya jadi menganggu kelas, jika tidak pakai AC sangat panas apalagi ini gresik. Akses menuju gedung 3,4,5 kampus A tidak ada parkiran jadi harus parkir di depan dekat kantin maka membutuhkan energi ekstra untuk menuju kelas sampai dikelas malah AC nya bermasalah😊4. Kantin dan mushollahUntuk kampus A lagi, untuk kantin nya bagi petugas kebersihan kampus harap dibersihkan karena menurut saya cukup kotor bagi tempat makan dan istirahat,Kantinya di siang hari sangat panas mungkin karena atapnya yang besi, Kemudian untuk musholla, mungkin bisa direnovasi agar lebih bisa disebut mushollah karena ini tempat ibadah. Lalu pada meja kantin terdapat beberapa stopkontak yang tidak berfungsi dan besinya sudah berkarat dan mushala tempat wudhu perempuan kalau sudah maghrib tidak ada lampunya sehingga gelap dan terpaksa menggunakan flash HP.Sangat tolong UKT tidak murah dan saya berharap mendapatkan fasilitas yang layak seperti kampus yang lain ☺️Edit ulasan : GA ADA SAMA SEKALII PERUBAHAN!! CUMAN DIKASIH LAMPU DOANG DIMUSHOLA ! PLIS LAH PARKIRAN, GA ADA PARKIRANNYA.Kekurangan yang ada :1. ParkiranGa ada parkirannya, ga ada atapnya jadi bikin ban motor sering kempes, kalo …Lengkapnya",1
Vardian Bagus,,1
Cat “The Traveler”,"1. Syarat pendaftaran kurang terperinci dan sistematis2. Kurikulum perlu diinformasikan dg suatu harapan calon mahasiswa yg ingin mendaftar tahu, apa yg akan diberikan pihak kampus terhadap mahasiswa. (Mahasiswa mau didesaian menjadi lulusan seperti apa)3. Karena ujungnya kuliah setelah lulus itu kerja, maka  jaminan apa yg bisa diberikan kampus terhadap kelulusannya. (Kl hanya sekedar meluluskan tanpa memberikan solusi/peluang kerja, tdk ada bedanya dg kebanyakan kampus yg hanya meluluskan pada akhirnya masih dipusingkan dg mencari kerja...)4. Keunggulan-keunggulan apa yg bisa diberikan kampus terhadap mahasiswanya?5. Maaf, bisa belajar dr PT lain bagaimana cara menginformasikan lebih lugas.Sebenarnya masih banyak yg ingin saya sampaikan tapi untuk sementara cukup 5 hal itu, yg saya anggap masih perlu ditingkatkan.Demikian yg bisa saya informasikan, mudah-mudah dapat dijadikan masukan.Bravo Edi Purwanta moxer1. Syarat pendaftaran kurang terperinci dan sistematis2. Kurikulum perlu diinformasikan dg suatu harapan calon mahasiswa yg ingin mendaftar tahu, apa yg akan diberikan pihak kampus terhadap mahasiswa. (Mahasiswa …Lengkapnya",1
moch khausar,,1
ali bogem,"Lokasinya cukup Sejuk, asri dan bersih, banyak pohon2 yg rindang, Tempat parkir juga luas, ada Musholla, warung2 makan..Pokoknya asik utk Belajar",4
Fadhilah Dwiestri Handayani,,4
hanifa fatma,"Bukan hanya fasilitasnya saja yang menjadikan mahasiswa menjadi manusia seutuhnya, tapi pembelajaran yang memanusiakan manusialah yang membentuk manusia seutuhnya. Karena manusia adalah subjek perubahan, sehingga menjadi bagian utama dalam pelaku pembelajaran. Hal itu telah dibuktikan, selanjutnya pilihan masing-maisng untuk melanjutkan. Menjadi generasi emas di lembah penuh harta karun. Menginternasionlakan Indonesia.Bukan hanya fasilitasnya saja yang menjadikan mahasiswa menjadi manusia seutuhnya, tapi pembelajaran yang memanusiakan manusialah yang membentuk manusia seutuhnya. Karena manusia adalah subjek perubahan, sehingga menjadi bagian utama dalam …Lengkapnya",5
Indro Warkop,,5
Yunita Mardhiyyah,"Perguruan tinggi swasta di gresik dan baru beberapa tahun, namun sdh go internasional, dan penyebaran mahasiswa baru dari semua propinsi se Indonesia",4
lily mooi,,4
Achmad Zainul Muttaqin,"Lokasi yang unik, Satu-satunya di Indonesia kampus menyulap bangunan ex Pabrik Semen menjadi wadah pendidikan tinggi yang bertaraf Internasionl",5
IMNYA umm what ever,,5
Conan Saputra,"tempatnya lumayan keren, lokasi ada di dalam pabrik semen, parkiran juga luas, banyak pohon besar dan tinggi",5
Pri Hinkap,Sangat baik,5
Putri Ciprut,,5
LUKE Lifting,Kampus UISI adalah Campus kebanggaan anak kami dan  genersi muda yang berusaha mencari ilmu yang bermanfaat aamiin,5
Kwu Manajemen,,5
Copler Madura,Kampusnya ada 2 lokasi yang di jl veteran sini. Kampus A dan kampus B tempat perpus instagramable,5
Fahmi Nandip,,5
Hendrik Nur cahya,"Tangyu orderan laptop thinkpadnya, ditunggu orderannya lagi 😊😊",5
Ida Silvia,,5
Sekarsari Utami Wijaya,ada jurusan apa saja ya,4
mreza pp,,4
Hassan Asyrori,"Termasuk kampus terbaik di Gresik, dengan nuansa industrial nya dapet banget",5
Putri Mas Cendhani Prasetyo,,5
