nama,review,bintang
Beni Giri,"Jatim makin mantaps, dulu ada ITS sekarang ada ITTS joss",5
M Iqbal Hafidz,Kampus swasta baru terbaik yang pernah saya lihat,5
DS_Fathur Rohman,"Koneksi wifi lancar, parkiran luas, penjaga ramah",5
Dodi Darwin,Kami mengucapkan selamat dan sukses selalu dg berdirinya IT Telkom Surabaya.,4
agustian hermansyah,"Lingkungan bersih, enak buat belajar",4
Ari Joe,"Puji Tuhan, anak saya Garudo diterima di sini.",5
bambang budiyono,Mencari informasi tentang penerimaan mahasiswa baru,5
La Safril,Kampus masa kini yang berbasis IT. Saya tertartik dengan kampus ini,5
Allansyah Brawinatha,Bagus univnya,5
Rizal Darmawisata,Parkir luas dan masjidnya bersih,5
WiNATA,"Joss, kampus paling manteb, adem",5
Ammat Banu,"Sebagai alumni IT Telkom Bandung, saya terharu sekarang ada IT Telkom Surabaya. Selamat dan Sukses IT Telkom Surabaya",5
anwar abdullah mustafa anwar,Kampus bagus banget,5
Dodiet Lumwartono,Kampus Luar Biasa berlokasi di Pusat Kota Surabaya,5
Anns,Tempat utbk ter best lah,5
Raissa Rahma,saya ngampus disini nih bos,5
Adya Rahadi,"Tata kelola unggul .. !!IGracias, Telkom University, Academic Information System .. 👨‍🎓👩‍🎓",5
Sarwa Raisa,Bersih,5
Susyanto Tri Rasmana,Perguruan tinggi baru dengan berjuta prestasi,5
Naufal Badri (MasNamri),Tempat mencari solusi untuk bangsa,5
Supra yitno,Institus Teknologi Telkom Surabayaa adik dari Telkom University yg ada di Bandung.,5
Gilang Aditya,Sangatt memuaskann,5
Dielbieh Nugraha,Tidak sesuai ekspetasi,5
Reyki Astika,Menuju kampus masa depan,5
Rachmat Djamal,Universitas  top markotop,5
Rahayu Rahayu,Area lengkap ini,4
Harjono Harjono,Mau daftarkan anak gimana ya?,4
Supra Yitno,"Nyaman dan aman ,",5
Raju Gultom,Bersih dan parkiran luas,5
Fajar Setiyawan,👍👍👍👍,5
agus santoso,"nyaman,",5
Mst Mjs.Official,Bagus,5
masboy mn,Kampus kekinian,5
Imron Rosidi,Bagus,4
